Company Name,Website,City / Location,Segment,What They Make,Revenue Band (Est.),Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score (0-100),Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Enzene Biosciences,enzene.com,Pune (Chakan),Specialty Biotech,Biosimilars & Monoclonal Antibodies,Rs. 100-300Cr,Dr. Abhijit Barve,CEO,PhD in Biotechnology; deep biologics mfg background,Strong,Owns end-to-end biologics plant in Chakan,Strong,HQ and plant in Pune,Strong,Single-use bioreactor platform; high technical moat,Strong,PhD led leadership; technical focus,Strong,High demand for biosimilars globally,Strong,New USFDA compliant facility expansion,90,A - Strong Federer,Strong Pass,PhD led biologics pioneer in Pune corridor,Single-use bioreactor platform serving global biosimilar demand.,enzene.com; Alkem annual reports
Melzer Chemicals Pvt Ltd,melzerchemicals.com,Pune (Kurkumbh),Water Treatment,Polymers & Specialty Chemicals,Rs. 100-300Cr,Sanjeev Kulkarni,MD,Founder-promoter; Chemical engineering background,Strong,Manufacturing unit at Kurkumbh MIDC,Strong,Pune based manufacturing,Moderate,Specialized polymers for paper/water industries,Strong,Technical founder with 25+ years experience,Moderate,Water treatment demand rising in India,Moderate,Steady growth in industrial client base,85,A - Strong Federer,Strong Pass,Consistent technical growth in Kurkumbh cluster,25 years of specialized polymer manufacturing for water treatment.,melzerchemicals.com; Tofler
Elkay Chemicals Pvt Ltd,elkaychemicals.com,Pune (Bhosari),Silicone Specialty,Silicone fluids & emulsions,Rs. 100-300Cr,Ravi Kulkarni,Director,Technical expert in Silicone chemistry,Strong,Plant at Bhosari MIDC Pune,Strong,Pune HQ and operations,Strong,Global rare silicone intermediates producer,Strong,Founder led technical R&D,Moderate,Rising use of silicones in EV/Pharma,Moderate,Exporting to 40+ countries,84,A - Strong Federer,Strong Pass,Silicone chemistry specialist with high export value,One of India's few specialized silicone emulsion manufacturers.,elkaychemicals.com; ZaubaCorp
Arofine Polymers Pvt Ltd,arofine.com,Pune (Pimpri),Industrial Adhesives,Specialty resins & adhesives,Rs. 50-150Cr,Shriniwas Sardesai,MD,30+ years in Polymer science,Strong,Pimpri-Chinchwad manufacturing unit,Strong,Pune based,Moderate,Customized adhesive solutions for B2B,Strong,Founder with deep chemistry knowledge,Moderate,Packaging and construction sector growth,Moderate,Expanding product line in eco-friendly resins,82,A - Strong Federer,Strong Pass,Decades of technical leadership in adhesives,Pioneering eco-friendly industrial resins in the Pimpri belt.,arofine.com; LinkedIn
Spectra Specialities,spectraspecialities.com,Pune,Surfactants,Performance surfactants for cosmetics,Rs. 50-100Cr,Dr. N S Dabke,Founder,PhD from ICT Mumbai; Ex-NCL Scientist,Strong,In-house manufacturing in Pune district,Strong,Pune operations,Strong,Research-led specialty surfactants,Strong,Ex-Scientist founder with deep R&D roots,Moderate,Personal care sector tailwind,Moderate,Growing high-end niche export client list,86,A - Strong Federer,Strong Pass,Scientist-led specialized surfactant R&D hub,Founder's NCL background translates to high-tech surfactant R&D.,spectraspecialities.com; NCL Alumni records
Cilicant Private Limited,cilicant.com,Pune,Active Packaging,Pharma desiccant chemistry,Rs. 100-200Cr,Manish Jain,Founder,Expert in moisture protection chemistry,Strong,Own manufacturing in Pune,Strong,Pune HQ,Strong,Patented active packaging solutions,Strong,Technical founder driving innovation,Strong,Pharma export growth requires desiccants,Strong,Recently expanded to 3rd manufacturing unit,83,A - Strong Federer,Strong Pass,Rapidly growing pharma-tech packaging leader,Patented chemistry for moisture-sensitive pharma exports.,cilicant.com; Business Standard
Demech Chemical Products,demechchemical.com,Pune (Pimpri),Industrial Coatings,Epoxy coatings & repair products,Rs. 50-100Cr,Kashinath Natu,Founder,Technical Pioneer in Epoxy,Strong,Manufacturing plant in Pune,Strong,Pune based,Strong,Niche epoxy formulations for power/steel,Strong,Founder led capability building,Moderate,Infrastructure and power sector growth,Moderate,Steady presence in industrial repair niche,81,B - Probable Federer,Pass,Engineering-led specialty coating veteran,Pioneered specialized epoxy repair for heavy industrial plants.,demechchemical.com
Ajinkya Chemtech Pvt Ltd,ajinkyachemtech.com,Pune,Agrochemicals,Bio-fertilisers & specialty inputs,Rs. 100-200Cr,Harshanan Patil,Technical MD,Technical expert in agri-formulations,Strong,Plant in Pune district,Strong,Pune HQ,Moderate,Proprietary bio-stimulant formulations,Strong,Founder led R&D in sustainable agri,Strong,Government push for organic/bio-agri,Moderate,Stable growth in domestic market,79,B - Probable Federer,Pass,Sustainable agri-tech leader in Pune,Scaling bio-stimulant research for the export market.,ajinkyachemtech.com
Harmony Organics Pvt Ltd,harmonyorganics.in,Pune (Kurkumbh),Performance Chemicals,Aromatic chemicals,Rs. 100-400Cr,Sandeepkumar Mehta,MD,Strategic and Technical background,Strong,Plant at Kurkumbh MIDC,Strong,Pune based,Moderate,Global standard aromatic chemicals,Moderate,Focus on internal quality systems,Strong,Specialty fragrance/flavor tailwind,Strong,Massive expansion in capacity recently,80,B - Probable Federer,Pass,Strong Kurkumbh manufacturer with scale,High-purity aromatic chemicals for global fragrance brands.,harmonyorganics.in
Foseco India Ltd,fosecoindia.com,Pune,Metallurgy,Metal treatment products,Rs. 400-500Cr,Technical Management,Professional-Technical team,Strong,Large unit at Chinchwad,Strong,Pune HQ,Strong,Proprietary smelting technologies,Moderate,Technical management team,Moderate,Automotive and steel sector growth,Moderate,Consistent revenue growth,78,B - Probable Federer,Pass,Listed Technical SME with deep Pune roots,Legacy player with proprietary smelting-aid technologies.,fosecoindia.com; Screener,
